Service,Stars,URL
Everything,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/everything
Fetch,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/fetch
Filesystem,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/filesystem
Git,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/git
Memory,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/memory
Sequential Thinking,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/sequentialthinking
Time,61900,https://github.com/modelcontextprotocol/servers/blob/main/src/time
GitHub,19500,https://github.com/github/github-mcp-server
MCP Toolbox for Databases,8100,https://github.com/googleapis/genai-toolbox
AWS,5000,https://github.com/awslabs/mcp
Firecrawl,4000,https://github.com/mendableai/firecrawl-mcp-server
21st.dev Magic,3200,https://github.com/21st-dev/magic-mcp
Cloudflare,2800,https://github.com/cloudflare/mcp-server-cloudflare
Browserbase,2300,https://github.com/browserbase/mcp-server-browserbase
Exa,2000,https://github.com/exa-labs/exa-mcp-server
Supabase,1900,https://github.com/supabase-community/supabase-mcp
Perplexity,1400,https://github.com/ppl-ai/modelcontextprotocol
Grafana,1300,https://github.com/grafana/mcp-grafana
Azure,1000,https://github.com/Azure/azure-mcp
Stripe,912,https://github.com/stripe/agent-toolkit
JetBrains,879,https://github.com/JetBrains/mcp-jetbrains
Terraform,767,https://github.com/hashicorp/terraform-mcp-server
Tavily,613,https://github.com/tavily-ai/tavily-mcp
Hyperbrowser,549,https://github.com/hyperbrowserai/mcp
CloudBase,538,https://github.com/TencentCloudBase/CloudBase-AI-ToolKit
ClickHouse,461,https://github.com/ClickHouse/mcp-clickhouse
Financial Datasets,443,https://github.com/financial-datasets/mcp-server
MongoDB,442,https://github.com/mongodb-js/mongodb-mcp-server
LINE,435,https://github.com/line/line-bot-mcp-server
Elasticsearch,371,https://github.com/elastic/mcp-server-elasticsearch
Graphlit,342,https://github.com/graphlit/graphlit-mcp-server
Semgrep,326,https://github.com/semgrep/mcp
Baidu Map,314,https://github.com/baidu-maps/mcp
E2B,299,https://github.com/e2b-dev/mcp-server
Google Cloud Run,288,https://github.com/GoogleCloudPlatform/cloud-run-mcp
Apify,279,https://github.com/apify/actors-mcp-server
MotherDuck,274,https://github.com/motherduckdb/mcp-server-motherduck
Chroma,254,https://github.com/chroma-core/chroma-mcp
Mapbox,231,https://github.com/mapbox/mcp-server
Burp Suite,218,https://github.com/PortSwigger/mcp-server
Razorpay,197,https://github.com/razorpay/razorpay-mcp-server
Armor Crypto MCP,187,https://github.com/armorwallet/armor-crypto-mcp
Milvus,161,https://github.com/zilliztech/mcp-server-milvus
